fips_cod,county,total,dem,gop,other,dem_prop,gop_prop,other_prop,state,state_name
24033,Prince George's County,351091,313627,29290,8174,0.8932926221406986,0.08342566457129348,0.023281713288007953,MD,Maryland
29219,Warren County,15766,3915,11109,742,0.24831916782950653,0.7046175313966764,0.047063300773817075,MO,Missouri
36051,Livingston County,31363,10478,19211,1674,0.3340879380161337,0.6125370659694545,0.05337499601441189,NY,New York
48391,Refugio County,2945,1034,1830,81,0.35110356536502546,0.6213921901528013,0.027504244482173174,TX,Texas
22013,Bienville Parish,7005,3129,3756,120,0.44668094218415416,0.5361884368308352,0.017130620985010708,LA,Louisiana
22023,Cameron Parish,3692,323,3256,113,0.08748645720476707,0.8819068255687974,0.030606717226435536,LA,Louisiana
17045,Edgar County,7783,1778,5634,371,0.22844661441603495,0.7238853912373121,0.04766799434665296,IL,Illinois
21047,Christian County,22069,7188,14108,773,0.32570574108477957,0.6392677511441388,0.03502650777108161,KY,Kentucky
13193,Macon County,4287,2705,1540,42,0.6309773734546302,0.3592255656636342,0.00979706088173548,GA,Georgia
01003,Baldwin County,94090,18409,72780,2901,0.19565309809756615,0.773514719948985,0.030832181953448827,AL,Alabama
38105,Williams County,12529,1722,10033,774,0.13744113656317344,0.8007821853300343,0.06177667810679224,ND,North Dakota
19105,Jones County,10011,3779,5718,514,0.3774847667565678,0.5711717111177704,0.051343522125661775,IA,Iowa
22095,Saint John the Baptist Parish,20740,12658,7569,513,0.6103182256509161,0.364946962391514,0.024734811957569915,LA,Louisiana
32031,Washoe County,209282,97032,94529,17721,0.46364235815789223,0.4516824189371279,0.08467522290497988,NV,Nevada
20187,Stanton County,742,132,580,30,0.1778975741239892,0.7816711590296496,0.04043126684636118,KS,Kansas
18139,Rush County,7214,1525,5292,397,0.21139451067369006,0.7335736068755199,0.05503188245079013,IN,Indiana
29037,Cass County,50715,14816,33006,2893,0.29214236419205364,0.6508133688257912,0.05704426698215518,MO,Missouri
38057,Mercer County,4564,616,3715,233,0.13496932515337423,0.8139789658194566,0.05105170902716915,ND,North Dakota
55035,Eau Claire County,54080,27271,23301,3508,0.5042714497041421,0.4308616863905325,0.06486686390532545,WI,Wisconsin
29079,Grundy County,4413,780,3462,171,0.17675050985723997,0.7845003399048266,0.03874915023793338,MO,Missouri
47077,Henderson County,10172,1796,8118,258,0.1765631144317735,0.7980731419583169,0.025363743609909555,TN,Tennessee
35029,Luna County,7245,3195,3478,572,0.4409937888198758,0.4800552104899931,0.07895100069013113,NM,New Mexico
47173,Union County,6204,1010,5024,170,0.16279819471308832,0.8098001289490652,0.02740167633784655,TN,Tennessee
48005,Angelina County,29870,7538,21666,666,0.2523602276531637,0.7253431536658855,0.022296618680950786,TX,Texas
46061,Hanson County,2006,424,1497,85,0.21136590229312063,0.7462612163509471,0.0423728813559322,SD,South Dakota
48271,Kinney County,1424,457,936,31,0.32092696629213485,0.6573033707865169,0.021769662921348316,TX,Texas
39031,Coshocton County,14961,3908,10381,672,0.261212485796404,0.6938707305661387,0.04491678363745739,OH,Ohio
40043,Dewey County,2246,222,1964,60,0.09884238646482636,0.8744434550311665,0.026714158504007122,OK,Oklahoma
06065,Riverside County,517200,253215,240013,23972,0.4895881670533643,0.46406225831399844,0.04634957463263728,CA,California
30109,Wibaux County,533,55,460,18,0.10318949343339587,0.8630393996247655,0.03377110694183865,MT,Montana
48325,Medina County,17187,4624,12054,509,0.26904055390702275,0.7013440390993193,0.029615406993657997,TX,Texas
09005,Litchfield County,97434,39836,53376,4222,0.4088511197323316,0.5478169838044215,0.043331896463246915,CT,Connecticut
20039,Decatur County,1460,178,1220,62,0.12191780821917808,0.8356164383561644,0.04246575342465753,KS,Kansas
13015,Bartow County,39263,8204,29879,1180,0.2089499019433054,0.7609963578942006,0.03005374016249395,GA,Georgia
08051,Gunnison County,9299,5068,3250,981,0.5450048392300247,0.3494999462307775,0.10549521453919776,CO,Colorado
30045,Judith Basin County,1189,232,867,90,0.1951219512195122,0.7291841883936081,0.07569386038687972,MT,Montana
17099,La Salle County,48447,19277,26269,2901,0.397898734699775,0.5422213965777035,0.05987986872252152,IL,Illinois
40103,Noble County,4870,901,3707,262,0.18501026694045175,0.7611909650924025,0.05379876796714579,OK,Oklahoma
53001,Adams County,4081,1118,2740,223,0.2739524626317079,0.6714040676304828,0.05464346973780936,WA,Washington
19109,Kossuth County,8505,2529,5637,339,0.29735449735449737,0.6627865961199294,0.039858906525573196,IA,Iowa
51001,Accomack County,15755,6737,8582,436,0.42761028245001587,0.5447159631862901,0.027673754363694066,VA,Virginia
19075,Grundy County,6766,1847,4516,403,0.2729825598581141,0.6674549216671594,0.05956251847472657,IA,Iowa
23005,Cumberland County,171249,102935,57697,10617,0.6010838019492084,0.33691875572996044,0.06199744232083107,ME,Maine
37099,Jackson County,18004,7564,9706,734,0.42012886025327706,0.5391024216840702,0.040768718062652747,NC,North Carolina
39119,Muskingum County,36217,10926,23588,1703,0.3016815307728415,0.6512963525416241,0.04702211668553442,OH,Ohio
17177,Stephenson County,19525,7531,10845,1149,0.3857106274007682,0.5554417413572343,0.05884763124199744,IL,Illinois
08053,Hinsdale County,589,197,339,53,0.33446519524617996,0.5755517826825127,0.0899830220713073,CO,Colorado
40093,Major County,3399,310,2940,149,0.09120329508679023,0.8649602824360106,0.043836422477199176,OK,Oklahoma
48171,Gillespie County,13123,2286,10445,392,0.17419797302446088,0.795930808504153,0.029871218471386116,TX,Texas
06061,Placer County,105157,43915,55212,6030,0.4176136633795182,0.5250435063761804,0.057342830244301375,CA,California
27153,Todd County,11944,2783,8485,676,0.2330040187541862,0.7103985264567984,0.05659745478901541,MN,Minnesota
39041,Delaware County,100101,39584,55660,4857,0.39544060498896116,0.5560384012147731,0.048520993796265774,OH,Ohio
16071,Oneida County,2068,184,1531,353,0.08897485493230174,0.7403288201160542,0.1706963249516441,ID,Idaho
21035,Calloway County,16039,4749,10367,923,0.2960907787268533,0.6463619926429328,0.05754722863021385,KY,Kentucky
12013,Calhoun County,6067,1236,4647,184,0.20372507005109608,0.7659469259930773,0.030328003955826605,FL,Florida
36009,Cattaraugus County,28961,8717,18668,1576,0.30099098788025275,0.6445910016919305,0.05441801042781672,NY,New York
18069,Huntington County,15974,3506,11649,819,0.21948165769375236,0.7292475272317516,0.05127081507449606,IN,Indiana
39099,Mahoning County,112827,56188,52808,3831,0.49800136492151703,0.46804399656110685,0.03395463851737616,OH,Ohio
48059,Callahan County,5556,568,4858,130,0.10223182145428365,0.8743700503959683,0.02339812814974802,TX,Texas
47165,Sumner County,71080,18153,50105,2822,0.25538829487900955,0.7049099606077659,0.039701744513224536,TN,Tennessee
